,Logistic_regression,Random_subspace,CNN
0,3,3,3
1,3,3,3
2,2,2,2
3,3,3,3
4,3,3,2
5,3,3,2
6,3,3,3
7,2,3,2
8,3,3,3
9,2,2,2
10,2,2,2
11,2,2,2
12,2,2,2
13,2,2,2
14,2,2,2
15,2,3,4
16,2,2,3
17,2,3,4
18,2,3,4
19,2,2,2
20,2,2,2
21,2,2,2
22,2,1,2
23,2,2,2
24,2,2,2
25,2,2,2
26,2,2,2
27,2,2,2
28,2,3,2
29,2,2,2
30,2,3,2
31,2,3,2
32,2,2,2
33,2,2,3
34,2,2,2
35,2,2,3
36,2,2,2
37,2,2,2
38,2,2,2
39,2,2,2
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,2,2,2
45,2,2,2
46,2,2,2
47,2,2,2
48,2,2,2
49,2,2,2
50,2,2,2
51,2,2,2
52,2,2,2
53,2,2,2
54,2,2,2
55,2,2,2
56,2,2,2
57,2,2,2
58,2,2,2
59,2,2,2
60,2,2,2
61,2,2,1
62,2,2,2
63,2,2,2
64,2,2,2
65,2,2,2
66,2,2,2
67,2,2,0
68,2,2,2
69,2,2,0
70,2,2,2
71,2,2,2
72,2,2,2
73,2,2,2
74,2,2,2
75,2,2,2
76,2,2,2
77,2,2,2
78,2,2,2
79,2,2,1
80,2,2,1
81,2,2,2
82,2,2,2
83,2,2,2
84,2,2,2
85,2,2,2
86,2,2,2
87,2,2,2
88,2,2,2
89,2,2,2
90,2,2,2
91,2,2,2
92,2,2,2
93,3,2,3
94,2,2,3
95,2,2,2
96,2,2,1
97,2,2,2
98,2,2,1
99,2,2,2
100,2,2,2
101,2,2,2
102,2,2,2
103,2,2,2
104,2,2,2
105,2,2,3
106,2,2,2
107,2,2,3
108,2,2,2
109,2,2,2
110,2,2,0
111,2,2,0
112,2,2,2
113,2,2,2
114,2,2,2
115,2,2,3
116,2,2,2
117,3,3,0
118,2,2,2
119,3,3,0
120,3,3,0
121,2,2,2
122,3,3,0
123,2,2,2
124,3,3,0
125,2,2,0
126,2,2,0
127,2,2,0
128,2,2,2
129,2,2,0
130,2,2,2
131,2,2,2
132,2,2,2
133,2,2,2
134,2,2,2
135,2,2,2
136,2,2,1
137,2,2,1
138,2,2,2
139,2,2,2
140,3,1,1
141,2,2,2
142,3,1,2
143,2,2,2
144,3,3,3
145,3,3,3
146,2,1,1
147,2,2,2
148,2,1,2
149,2,2,3
150,2,2,2
151,2,2,2
152,2,2,2
153,2,2,2
154,2,2,2
155,2,2,2
156,2,2,2
157,2,2,2
158,3,2,0
159,2,2,2
160,3,2,0
161,3,2,0
162,2,2,0
163,2,2,1
164,2,2,1
165,2,2,1
166,2,2,2
167,2,2,2
168,2,2,2
169,2,2,2
170,2,2,2
171,2,2,2
172,2,2,2
173,2,2,2
174,2,2,2
175,3,3,4
176,2,2,2
177,3,3,4
178,2,2,2
179,3,4,4
180,2,2,2
181,2,2,2
182,3,3,3
183,3,3,3
184,3,3,3
185,2,2,3
186,2,2,2
187,2,2,2
188,2,2,2
189,2,3,0
190,2,3,0
191,2,2,1
192,2,2,1
193,2,2,1
194,2,2,1
195,2,2,2
196,2,2,2
197,2,2,2
198,2,3,0
199,2,2,2
200,2,2,2
201,2,2,2
202,2,2,2
203,2,2,2
